id	filename	md5	size	state
010f8747-8e0d-4573-b904-5cb93cd9a173	TCGA-BP-4777-01A-01-BS1.6366a3fa-6a6b-47aa-b4a6-bf68e95c4ea0.svs	660ff0bd94d95fd63468cfc734bf9f53	61298459	validated
0128867e-ffbb-434b-826b-661368ef2218	TCGA-CZ-4864-11A-01-TS1.76d70a81-eaa2-460d-980d-a032143b767f.svs	77eddf547de9517da8dae6bbe2abd528	73577673	validated
01dd5759-dc6b-48d2-bf9e-e822299d2580	TCGA-BP-4969-11A-01-TS1.c1c429b7-7769-48b5-b3fd-3dce5aa4c19a.svs	2455e1a9d9079ae9a6ae9a4a3e4e1030	42154237	validated
02bce9b9-309a-46eb-a2e6-58481d4a0745	TCGA-CZ-4861-01A-01-TS1.58c45e80-927c-402c-9ea1-8e311a482dd5.svs	21723b2bfff66c050cf1eaa2f444797b	72927267	validated
03abea3e-a844-441d-ba83-73685122c7ab	TCGA-CW-6090-01A-01-BS1.83d41b27-0061-480d-ab88-6eb5ee1332a3.svs	a181954cb9e0fe599e6ede3c7f23448b	65429365	validated
073405d8-24ef-400f-adbd-e115a094fdda	TCGA-BP-4967-11A-01-TS1.72be276e-5622-4a01-a6ef-89780fe64a19.svs	18ea7774c4d5f42d7295fef019e43db2	83373873	validated
079cd482-979f-429c-a660-2b9e3a9dd1e4	TCGA-CW-5585-01A-01-TS1.08dbf72d-9d28-4267-89d6-bfab37f33096.svs	e16a4eb5643cab730e2a54a90b74f8ab	54395773	validated
08384caf-ac52-43e4-bb9d-34e939c69d3c	TCGA-A3-3335-11A-01-TS1.8d9dd233-7fb5-4f8e-b81f-dc7ac321529c.svs	e2386527aac60d748d886ecc95fd5524	61857721	validated
0991ea86-17d7-48a7-aa6b-6a5416880e05	TCGA-A3-3380-11A-01-TS1.6a643be7-d7f5-4115-bda0-50c47ccdf17f.svs	a4fd19d245947888fb22fecc6894126a	73776635	validated
0a544534-1464-427e-be08-2f590e3d713f	TCGA-CJ-4889-01A-01-BS1.5dde5b4f-2d67-44dd-a192-463047b2b91d.svs	b8b225f424e37f4e86f7dee89baaac05	73470987	validated
0c3f9315-48eb-4ab3-b284-fbfdc3d5122f	TCGA-AK-3460-01A-02-BS2.effbb5e1-726b-426b-a060-5fdc565fadb9.svs	989e7395c250d28a424dd68e22e8f22e	19187825	validated
0c964611-e579-4fe5-95b1-9bd966576f71	TCGA-A3-3387-01A-01-TS1.d0719d8d-1e96-407f-b647-06171061db34.svs	15d11e7ba7351a103da1d342befd609c	43104195	validated
0d0ead0f-9dda-475a-bfb7-a27132013bbb	TCGA-A3-3365-01Z-00-DX1.dc5b8d77-b5ba-47c8-b536-a8f1ed458ed3.svs	990643c4b30e410c86c8ead97d61e252	44123089	validated
0dba09b9-b004-4fb4-864c-98c0fc5e60cc	TCGA-A3-3352-01A-01-TS1.d3c4f914-3145-4f6c-911f-46fd569589d1.svs	50ec234b5827f33599af85a06e70e656	40384767	validated
0de58053-5401-415f-970d-76e4d2871ce2	TCGA-B8-4148-01A-01-TS1.ed2c879d-86b7-40c3-b886-f4225a549170.svs	3658a2ce4d71b0dc20e2609e16914ee0	71548087	validated
0df02662-d481-4e00-8e20-49a60d3d09bc	TCGA-B0-4697-11A-01-TS1.c813149f-e1fa-4fd5-a4ac-22658247c968.svs	c15b158668a41274d26cb47cbe8f893f	66101069	validated
0f296696-23ac-42b3-a164-8f4aa887d18c	TCGA-B8-4620-01A-01-TS1.f45ec4b6-52aa-496a-b047-3665a98a448f.svs	561a09e801a679c1cd03e09103dbffc7	49989989	validated
100b2ee4-7a8d-4f8b-9435-8deafa85e58c	TCGA-DV-5566-01A-01-BS1.bcb02c52-c9ca-4950-9998-d0fb5450c4f9.svs	6450db879d6ea47aa26ca1711e4c043d	70727513	validated
105a73b3-1499-4660-b9cb-db47cc06fa68	TCGA-AK-3447-01A-01-BS1.d736ff05-4908-447f-8b63-334a59540b82.svs	a0fe6483e1d720b8866b381a741ac7f9	51233845	validated
15c53882-6635-4960-ade6-94f7ee158ee1	TCGA-B0-5400-11A-01-TS1.0771528d-0115-4a27-8df9-d0b1b1dcb8a3.svs	e3c35100963adb586db41e165bb6d400	27105123	validated
165be0fd-5baf-4a93-8306-82d88d2f6609	TCGA-A3-3372-01A-02-BS2.326c7875-3588-4778-b0fc-e496a97cbea4.svs	f9637d4332295ae450d612982d39af0c	63398789	validated
18b04d7a-3af8-41a0-b1d4-ebf7dbde2227	TCGA-A3-3359-01A-01-TS1.801d95ac-2ca0-44d0-a0da-36021985c461.svs	cdad3395dbcdf94106f514b2ee9ff48d	65119703	validated
