id	filename	md5	size	state
01dd5759-dc6b-48d2-bf9e-e822299d2580	TCGA-BP-4969-11A-01-TS1.c1c429b7-7769-48b5-b3fd-3dce5aa4c19a.svs	2455e1a9d9079ae9a6ae9a4a3e4e1030	42154237	validated
079cd482-979f-429c-a660-2b9e3a9dd1e4	TCGA-CW-5585-01A-01-TS1.08dbf72d-9d28-4267-89d6-bfab37f33096.svs	e16a4eb5643cab730e2a54a90b74f8ab	54395773	validated
0c3f9315-48eb-4ab3-b284-fbfdc3d5122f	TCGA-AK-3460-01A-02-BS2.effbb5e1-726b-426b-a060-5fdc565fadb9.svs	989e7395c250d28a424dd68e22e8f22e	19187825	validated
0c964611-e579-4fe5-95b1-9bd966576f71	TCGA-A3-3387-01A-01-TS1.d0719d8d-1e96-407f-b647-06171061db34.svs	15d11e7ba7351a103da1d342befd609c	43104195	validated
0d0ead0f-9dda-475a-bfb7-a27132013bbb	TCGA-A3-3365-01Z-00-DX1.dc5b8d77-b5ba-47c8-b536-a8f1ed458ed3.svs	990643c4b30e410c86c8ead97d61e252	44123089	validated
0dba09b9-b004-4fb4-864c-98c0fc5e60cc	TCGA-A3-3352-01A-01-TS1.d3c4f914-3145-4f6c-911f-46fd569589d1.svs	50ec234b5827f33599af85a06e70e656	40384767	validated
0f296696-23ac-42b3-a164-8f4aa887d18c	TCGA-B8-4620-01A-01-TS1.f45ec4b6-52aa-496a-b047-3665a98a448f.svs	561a09e801a679c1cd03e09103dbffc7	49989989	validated
105a73b3-1499-4660-b9cb-db47cc06fa68	TCGA-AK-3447-01A-01-BS1.d736ff05-4908-447f-8b63-334a59540b82.svs	a0fe6483e1d720b8866b381a741ac7f9	51233845	validated
195f14e5-42ae-4926-a20c-2af7a76d133c	TCGA-B0-4693-01A-01-BS1.3cb04593-389b-48e7-bf63-4dc83d0b1912.svs	40ca0e01c44a26e68cfe3cb67a6cf959	41708569	validated
1be6c961-6142-4ae2-bbbb-e5106af816a2	TCGA-B0-5121-11A-01-TS1.01317588-26dd-4337-86c0-d3bfcf066c23.svs	67711d7122a0bba216abcbe02e8510ce	35782547	validated
2172d697-0b27-483f-9385-876c5d865705	TCGA-B8-5552-01B-01-TS1.7cfbbaef-3cf6-4ea1-825e-b521d282b9ab.svs	145c864aed7adb51b6d275b9656f651f	53486197	validated
2881f882-bdfa-4e70-80ad-188cabfcf7a4	TCGA-AS-3777-01A-01-BS1.5a03479b-afa6-43d4-829c-8500e76bcd8a.svs	70f99f4f119e2b52d1eee628c96bb036	47411285	validated
29086c3b-db9f-44e3-a6f5-a7a27e68283a	TCGA-B2-5633-01B-04-BS4.B63ED0AD-B3F7-4C32-A20D-37244BDA7E48.svs	53080bc171af30903959e79336a15ebf	38474693	validated
333f1606-9255-4fe2-8e98-38f1e203b1c5	TCGA-B0-4841-01A-01-BS1.64ff8ede-1182-4836-8a9a-6b943c0085f8.svs	bea51f268d4cf13160cf81a4bbf40194	53462061	validated
33f6bcc7-a447-4259-a1ee-ed7e601750d3	TCGA-B2-5641-11A-01-TS1.eb8c4cab-1e90-4111-84d5-f4aa045b7872.svs	89cb094a8f4200d1b5441d8d1cb963ca	54485077	validated
358bc036-b6ac-4bc4-8d2c-cb6a1a708e73	TCGA-B0-4693-01A-01-TS1.ab79e8c3-1e6b-4ce0-b715-9921431c650e.svs	ea492b19d7da0fa48ed0ee4bb4509e72	42692415	validated
37850498-c16a-4817-ac96-9fc933de32d7	TCGA-AK-3451-01A-02-BS2.03783f75-ebbd-4dd7-baff-3ad8c2527e58.svs	c984ecbe3dd81b29f923724b9269dda4	21995625	validated
